,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,BitcoinBTC,"$94,132.25",0.12%,1.99%,5.90%,"$1.86T$1,863,364,182,993","$74,172,913,077787,564 BTC","19,785,112 BTC",
,2,EthereumETH,"$3,073.87",0.43%,0.56%,2.56%,"$369.93B$369,930,079,249","$30,756,002,73310,012,249 ETH","120,426,316 ETH",
,3,TetherUSDT,$1.00,0.01%,0.05%,0.00%,"$128.87B$128,873,023,466","$145,594,973,339145,475,341,951 USDT","128,767,132,044 USDT",
,4,SolanaSOL,$235.24,0.95%,1.21%,12.71%,"$111.65B$111,648,202,077","$6,729,677,59428,608,000 SOL","474,618,832 SOL",
,5,BNBBNB,$610.04,0.94%,0.19%,0.10%,"$87.85B$87,852,307,905","$2,153,012,4583,529,296 BNB","144,010,698 BNB",
,6,XRPXRP,$1.10,1.12%,0.55%,61.67%,"$62.35B$62,354,842,990","$6,437,776,8605,877,821,448 XRP","56,931,242,174 XRP",
,7,DogecoinDOGE,$0.3778,1.60%,2.73%,0.41%,"$55.49B$55,487,312,140","$8,897,482,84823,551,478,534 DOGE","146,873,926,384 DOGE",
,8,USDCUSDC,$0.9999,0.00%,0.00%,0.00%,"$37.66B$37,661,671,514","$11,432,089,00411,432,571,180 USDC","37,663,259,989 USDC",
,9,CardanoADA,$0.8041,1.09%,7.84%,42.26%,"$28.17B$28,171,243,453","$3,752,975,2654,667,202,495 ADA","35,033,776,787 ADA",
,10,TRONTRX,$0.1959,0.83%,2.00%,11.79%,"$16.92B$16,919,594,121","$748,844,0953,822,140,844 TRX","86,358,525,277 TRX",
,1,BitcoinBTC,"$94,132.25",0.12%,1.99%,5.90%,"$1.86T$1,863,364,182,993","$74,172,913,077787,564 BTC","19,785,112 BTC",
,2,EthereumETH,"$3,073.87",0.43%,0.56%,2.56%,"$369.93B$369,930,079,249","$30,756,002,73310,012,249 ETH","120,426,316 ETH",
,3,TetherUSDT,$1.00,0.01%,0.05%,0.00%,"$128.87B$128,873,023,466","$145,594,973,339145,475,341,951 USDT","128,767,132,044 USDT",
,4,SolanaSOL,$235.24,0.95%,1.21%,12.71%,"$111.65B$111,648,202,077","$6,729,677,59428,608,000 SOL","474,618,832 SOL",
,5,BNBBNB,$610.04,0.94%,0.19%,0.10%,"$87.85B$87,852,307,905","$2,153,012,4583,529,296 BNB","144,010,698 BNB",
